ZIPCODE,zipPopulation
20001,43731
20002,57412
20003,28538
20004,1667
20005,12947
20006,2905
20007,26687
20008,28141
20009,51499
20010,32544
20011,66571
20012,14393
20015,16331
20016,35101
20017,19311
20018,19957
20019,56090
20020,53646
20024,11665
20032,39776
20036,5405
20037,15687
20045,0
20052,388
20053,0
20057,3651
20064,1945
20202,0
20204,0
20228,0
20230,0
20240,0
20245,0
20260,0
20307,299
20317,482
20319,89
20373,141
20390,485
20405,0
20418,0
20427,0
20506,0
20510,0
20520,0
20535,0
20540,0
20551,0
20553,0
20560,0
20565,0
20566,0
20593,0
